   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 717,              ,                ,               ,      5926,        5926,       9000
 718,              ,                ,               ,      5928,        5928,       9649
 719,              ,                ,               ,      5931,        5931,      10000
 720,              ,                ,               ,      5938,        5938,       9001
 721,              ,                ,               ,      5952,        5952,       8988
 722,              ,                ,               ,      5945,        5945,       9398
 723,              ,                ,               ,      5976,        5976,       9000
 724,              ,                ,               ,      5973,        5973,      10015
 725,              ,                ,               ,      5972,        5972,       9000
 726,              ,                ,               ,      5996,        5996,      10543
 727,              ,                ,               ,      5993,        5993,       9000
 728,              ,                ,               ,      6035,        6035,       9000
 729,              ,                ,               ,      6047,        6047,      10000
 730,              ,                ,               ,      6049,        6049,       9000
 731,              ,                ,               ,      6054,        6054,       8985
 732,              ,                ,               ,      6076,        6076,      10001
 733,              ,                ,               ,      6082,        6082,      10000
 734,              ,                ,               ,      6086,        6086,      10014
 735,              ,                ,               ,      6103,        6103,       9000
 736,              ,                ,               ,      6079,        6079,       9539
 737,              ,                ,               ,      6087,        6087,       9000
 738,              ,                ,               ,      6085,        6085,       9988
 739,              ,                ,               ,      6105,        6105,       9996
 740,              ,                ,               ,      6107,        6107,      12004
 741,              ,                ,               ,      6122,        6122,      14001
 742,              ,                ,               ,      6156,        6156,      13161
 743,              ,                ,               ,      6136,        6136,       9476
 744,              ,                ,               ,      6158,        6158,      10462
 745,              ,                ,               ,      6173,        6173,      12049
 746,              ,                ,               ,      6189,        6189,      16852
 747,              ,                ,               ,      6199,        6199,      13015
 748,              ,                ,               ,      6208,        6208,      10001
 749,              ,                ,               ,      6204,        6204,      11000
 750,              ,                ,               ,      6216,        6216,      11000
 751,              ,                ,               ,      6226,        6226,      11023
 752,              ,                ,               ,      6225,        6225,       9987
 753,              ,                ,               ,      6236,        6236,       9540
 754,              ,                ,               ,      6263,        6263,      10001
 755,              ,                ,               ,      6264,        6264,      12001
 756,              ,                ,               ,      6283,        6283,      11000
 757,              ,                ,               ,      6304,        6304,      12989
 758,              ,                ,               ,      6300,        6300,      10998
 759,              ,                ,               ,      6304,        6304,       9999
 760,              ,                ,               ,      6330,        6330,      20005
 761,              ,                ,               ,      6331,        6331,      11515
 762,              ,                ,               ,      6323,        6323,      12996
 763,              ,                ,               ,      6337,        6337,      12003
 764,              ,                ,               ,      6355,        6355,      14000
 765,              ,                ,               ,      6363,        6363,      11017
 766,              ,                ,               ,      6382,        6382,      10998
 767,              ,                ,               ,      6383,        6383,      10000
 768,              ,                ,               ,      6382,        6382,      10001
 769,              ,                ,               ,      6393,        6393,      10000
 770,              ,                ,               ,      6416,        6416,      10512
 771,              ,                ,               ,      6421,        6421,      14999
 772,              ,                ,               ,      6437,        6437,      19004
 773,              ,                ,               ,      6458,        6458,      17000
 774,              ,                ,               ,      6464,        6464,      13998
 775,              ,                ,               ,      6469,        6469,      11997
 776,              ,                ,               ,      6491,        6491,      11506
 777,              ,                ,               ,      6497,        6497,      11003
 778,              ,                ,               ,      6463,        6463,       9000
 779,              ,                ,               ,      6482,        6482,      11000
 780,              ,                ,               ,      6504,        6504,      10000
 781,              ,                ,               ,      6512,        6512,      10000
 782,              ,                ,               ,      6534,        6534,       9999
 783,              ,                ,               ,      6539,        6539,       9998
 784,              ,                ,               ,      6550,        6550,      10002
 785,              ,                ,               ,      6566,        6566,      10998
 786,              ,                ,               ,      6569,        6569,      15517
 787,              ,                ,               ,      6581,        6581,      12001
 788,              ,                ,               ,      6611,        6611,      10998
 789,              ,                ,               ,      6619,        6619,      16002
 790,              ,                ,               ,      6618,        6618,       9999
 791,              ,                ,               ,      6622,        6622,      16018
 792,              ,                ,               ,      6638,        6638,      13992
 793,              ,                ,               ,      6654,        6654,      16527
 794,              ,                ,               ,      6660,        6660,      10985
 795,              ,                ,               ,      6672,        6672,      10014
 796,              ,                ,               ,      6672,        6672,      11000
 797,              ,                ,               ,      6675,        6675,      10000
 798,              ,                ,               ,      6678,        6678,       9984
 799,              ,                ,               ,      6708,        6708,      11000
 800,              ,                ,               ,      6726,        6726,      11003
 801,              ,                ,               ,      6738,        6738,      10511
 802,              ,                ,               ,      6743,        6743,      11002
 803,              ,                ,               ,      6765,        6765,      11001
 804,              ,                ,               ,      6727,        6727,      11014
 805,              ,                ,               ,      6741,        6741,      10986
 806,              ,                ,               ,      6755,        6755,      10999
